,LocationName,Sex,AreaType,Total,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79
6343,World,Male,Rural,3367497.212,0.107898306,0.101355778,0.093415472,0.083670748,0.079272416,0.078054765,0.069862407,0.062663002,0.06100674,0.056863389,0.050546425,0.043514612,0.037951755,0.027211451,0.019276467,0.027436267
6351,More developed regions,Male,Rural,273757.236,0.054386811,0.056985051,0.056949265,0.054513318,0.052249472,0.058739841,0.063105958,0.065902581,0.068850022,0.070460726,0.073855582,0.071460057,0.066091202,0.056819513,0.043568827,0.086061774
6359,Less developed regions,Male,Rural,3093739.976,0.112633403,0.105282031,0.096642274,0.086250815,0.081663608,0.079763894,0.070460268,0.06237634,0.060312708,0.055660195,0.048483856,0.04104179,0.035461767,0.024591508,0.017126898,0.022248644
6367,Least developed countries,Male,Rural,644947.366,0.152231277,0.136456599,0.120579924,0.103158056,0.087653961,0.07591566,0.066463548,0.054820679,0.045827302,0.03849371,0.032603513,0.026208947,0.020508627,0.015511303,0.01122296,0.012343934
6375,Africa,Male,Rural,694636.991,0.166662147,0.144238721,0.120519163,0.101239421,0.0853232,0.074304793,0.063497513,0.0519388,0.04287408,0.035434888,0.030597824,0.025412792,0.020107041,0.015541751,0.010713649,0.011594217
6383,Eastern Africa,Male,Rural,293719.352,0.171678031,0.15248018,0.130580601,0.10732896,0.085779996,0.07178591,0.060918084,0.049735795,0.039553357,0.03130784,0.025856548,0.021740336,0.017679796,0.013651257,0.00942743,0.010495877
6391,Burundi,Male,Rural,9508.971,0.189267087,0.151835657,0.118757201,0.098460315,0.090977322,0.080514489,0.064286429,0.048436406,0.035233275,0.0308915,0.02647687,0.022855117,0.016964264,0.010114529,0.006994624,0.007934916
6399,Comoros,Male,Rural,552.166,0.157249048,0.138653708,0.119514087,0.096243105,0.07997409,0.076649229,0.07343171,0.05897704,0.04887719,0.039414282,0.034077843,0.026182487,0.019924374,0.012185934,0.009205093,0.00944078
6407,Djibouti,Male,Rural,203.835,0.131969942,0.119898697,0.104507854,0.093611767,0.093043264,0.087876545,0.068016146,0.06478239,0.052077707,0.04537802,0.040037431,0.030719301,0.022218539,0.019013981,0.013067144,0.013781272
6415,Eritrea,Male,Rural,5212.446,0.172287615,0.151848011,0.124971806,0.096478553,0.085833075,0.081862907,0.072402436,0.056101805,0.040154957,0.031238937,0.025694828,0.020609396,0.015449576,0.011902703,0.007066351,0.006097043
