,LocationName,Sex,AreaType,Total,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79
6423,Ethiopia,Male,Rural,79676.204,0.15786731,0.143979464,0.131246542,0.114924633,0.09304866,0.072328593,0.06134752,0.048946141,0.041849953,0.033268814,0.026341995,0.022226818,0.017509042,0.014291577,0.010040547,0.010782393
6431,Kenya,Male,Rural,34770.499,0.159872338,0.149881264,0.131124785,0.105617786,0.081973407,0.074708753,0.066804945,0.05448079,0.042340621,0.03276309,0.027201951,0.023214002,0.018912474,0.013055537,0.007930208,0.010118048
6439,Madagascar,Male,Rural,15727.662,0.169236008,0.144431262,0.125019945,0.108611065,0.089908997,0.073769765,0.05777016,0.051727477,0.042564978,0.035000082,0.029566672,0.023833122,0.019047985,0.011922539,0.008228531,0.009361413
6447,Malawi,Male,Rural,14492.248,0.172532265,0.157278522,0.1291142,0.108146229,0.090450768,0.071464402,0.058026249,0.051239028,0.036441977,0.027158866,0.023538292,0.020852394,0.017514532,0.015747223,0.010268568,0.010226485
6455,Mauritius,Male,Rural,756.276,0.060674131,0.062834962,0.074187952,0.078371321,0.085005831,0.079671035,0.075966574,0.081200489,0.069140508,0.068427895,0.073139228,0.060496825,0.047218358,0.03507663,0.020909739,0.027678521
6463,Mayotte,Male,Rural,124.069,0.155555317,0.180486652,0.153568886,0.092330272,0.058896581,0.050373088,0.044781291,0.055136016,0.056423097,0.047437364,0.032224345,0.023435567,0.01829173,0.012831401,0.008053679,0.010174712
6471,Mozambique,Male,Rural,18384.814,0.1816455,0.1596944,0.130246402,0.096183694,0.079047254,0.070471509,0.059848551,0.048688529,0.037045125,0.030592902,0.026774674,0.023605551,0.019274177,0.014912561,0.010390901,0.01157827
6479,Réunion,Male,Rural,44.762,0.086286247,0.087596622,0.085718986,0.073656594,0.070210751,0.073115923,0.066611834,0.058441225,0.056579453,0.069135579,0.068874343,0.057203403,0.047466299,0.032348784,0.024290077,0.042463878
6487,Rwanda,Male,Rural,8847.386,0.164834837,0.151874672,0.12871535,0.124387039,0.071833838,0.073208876,0.065864752,0.052213438,0.039430829,0.030586447,0.028745505,0.022083778,0.018602689,0.012427358,0.006674384,0.008516209
6495,Seychelles,Male,Rural,43.233,0.085946918,0.074757685,0.074203789,0.070618367,0.068906267,0.070769408,0.074500072,0.074496109,0.077755662,0.074376115,0.072441889,0.057545532,0.036941151,0.027772645,0.02090091,0.038067482
6503,Somalia,Male,Rural,6723.598,0.202057634,0.170212946,0.135778373,0.104548746,0.0733208,0.057691527,0.048569695,0.041356215,0.035469675,0.030778578,0.026490214,0.022277282,0.018380894,0.013937293,0.009249558,0.009880571
6511,South Sudan,Male,Rural,9867.15,0.161020759,0.14188448,0.125417495,0.107732303,0.08995988,0.074450715,0.060461314,0.051220903,0.043357575,0.036339641,0.029710699,0.023426921,0.017716722,0.015235966,0.011135369,0.010929258
6519,Uganda,Male,Rural,33677.942,0.193088998,0.164821293,0.136901749,0.106516869,0.083694403,0.068276201,0.056716995,0.04574476,0.036316329,0.028292377,0.021972379,0.017305473,0.013981766,0.010612501,0.007620594,0.008137313
6527,Tanzania,Male,Rural,35762.641,0.186399875,0.164310669,0.132362226,0.097449761,0.077347414,0.066668332,0.057295004,0.048454442,0.038627904,0.030223811,0.025149373,0.021018115,0.017874509,0.014774337,0.010550811,0.011493418
6535,Zambia,Male,Rural,9168.601,0.198397379,0.155032422,0.130621649,0.103301291,0.078997148,0.06647091,0.058360502,0.050620939,0.039132543,0.028850588,0.022371014,0.018302108,0.015442816,0.013392637,0.009731651,0.010974402
6543,Zimbabwe,Male,Rural,10174.849,0.148253045,0.144120494,0.130160557,0.115706282,0.095770921,0.082967684,0.070744332,0.049837779,0.030145386,0.020973242,0.01997358,0.02148824,0.021496714,0.016211098,0.013741467,0.01840918
6551,Middle Africa,Male,Rural,80231.666,0.170601425,0.143970424,0.117776545,0.095814618,0.088260987,0.078420891,0.065709775,0.050377706,0.040992746,0.034093336,0.029670992,0.024750828,0.02038521,0.016179249,0.011502308,0.011492958
6559,Angola,Male,Rural,12767.654,0.179465876,0.153880204,0.122079564,0.095233755,0.085149872,0.075685329,0.063147498,0.048417663,0.038700369,0.032636769,0.028803228,0.023893621,0.01929244,0.013943787,0.009883141,0.009786885
6567,Cameroon,Male,Rural,10671.66,0.165486952,0.146501699,0.124245663,0.097025112,0.085209001,0.078596118,0.067949956,0.050109885,0.04215485,0.033318068,0.028341878,0.023022489,0.019133413,0.015891948,0.011334593,0.011678375
6575,Central African Republic,Male,Rural,2880.08,0.145623502,0.127622877,0.111471835,0.098977311,0.089155421,0.085599242,0.073773591,0.059170776,0.047348738,0.0381714,0.031273628,0.026625112,0.021503254,0.016864206,0.012788687,0.014030422
6583,Chad,Male,Rural,10548.271,0.187523118,0.156489661,0.130076605,0.106776752,0.089866062,0.074159862,0.059994071,0.046447744,0.03600891,0.027685878,0.022862634,0.019160768,0.015812373,0.010911259,0.007930401,0.0082939
6591,Congo,Male,Rural,1617.162,0.160353076,0.136741159,0.109937381,0.088310391,0.080662908,0.07698661,0.070718134,0.058286926,0.048208706,0.03907059,0.03299329,0.027130949,0.022622895,0.018399957,0.013705375,0.015871651
6599,DRC,Male,Rural,40970.888,0.16746595,0.138776307,0.112617644,0.093088483,0.08987711,0.079774149,0.06658477,0.051141068,0.041839882,0.035657912,0.031502056,0.02644724,0.021954623,0.018156513,0.012770381,0.012345912
6607,Equatorial Guinea,Male,Rural,480.241,0.145330196,0.124325689,0.100896163,0.087409105,0.087453642,0.084090657,0.064465464,0.046268688,0.048429419,0.053039691,0.0523228,0.042103338,0.026916959,0.014475806,0.010036328,0.012436054
6615,Gabon,Male,Rural,224.924,0.139151974,0.122006716,0.101399697,0.086174164,0.086497828,0.083258233,0.072482859,0.056441817,0.047227534,0.040815461,0.035772513,0.030598495,0.02717084,0.023979523,0.019428954,0.027593392
6623,Sao Tome and Principe,Male,Rural,70.786,0.157773347,0.149073829,0.121593266,0.092857567,0.083206222,0.083979002,0.079832285,0.058233447,0.03789477,0.033399926,0.02712966,0.02411433,0.016773761,0.011448912,0.009237485,0.013452191
6631,Northern Africa,Male,Rural,104995.632,0.125821835,0.108576243,0.094732321,0.094943337,0.095722769,0.089964777,0.072831023,0.061357042,0.050182582,0.047833681,0.042116347,0.037130702,0.024662318,0.021135831,0.013659106,0.019330086
6639,Algeria,Male,Rural,11894.665,0.123028066,0.098727266,0.07117155,0.079984633,0.097700719,0.100848113,0.086079689,0.07127633,0.058879374,0.052870854,0.043580444,0.037306038,0.028042539,0.017778935,0.013063381,0.019662067
6647,Egypt,Male,Rural,48167.847,0.117598232,0.104533419,0.09091148,0.093427266,0.095312232,0.094422608,0.073121447,0.059959162,0.047585572,0.049153928,0.044737098,0.040595865,0.025122839,0.025771978,0.015596668,0.022150207
6655,Libya,Male,Rural,1354.768,0.101148534,0.101239457,0.096617714,0.08951053,0.089515825,0.089434012,0.091316434,0.078705191,0.062284004,0.048990718,0.037541532,0.031926519,0.025281756,0.018865952,0.015590257,0.022031564
6663,Morocco,Male,Rural,13515.958,0.116791636,0.087862804,0.082576596,0.091061618,0.097947631,0.088197709,0.074436293,0.06544744,0.057600222,0.05598658,0.051665762,0.04621595,0.029258092,0.019766077,0.013623855,0.021561735
6671,Sudan,Male,Rural,26221.769,0.152834376,0.134660487,0.12120248,0.109075687,0.095890418,0.078599618,0.064183629,0.055609282,0.045427467,0.037465971,0.02955337,0.024087255,0.017269591,0.013988544,0.009318793,0.01083303
6679,Tunisia,Male,Rural,3725.339,0.093402434,0.087079579,0.076990315,0.079373467,0.087727846,0.083992395,0.074661375,0.066310565,0.057383639,0.057086858,0.058718609,0.052386277,0.043130582,0.028227092,0.020671171,0.032857795
6687,Western Sahara,Male,Rural,115.286,0.102221373,0.090303343,0.077659602,0.079398033,0.09549004,0.095937844,0.086826737,0.085825056,0.074964377,0.06620363,0.051240255,0.041030882,0.022107627,0.014212267,0.00764185,0.008937084
6695,Southern Africa,Male,Rural,23532.453,0.121160968,0.130166474,0.119531355,0.105543445,0.088172521,0.07721854,0.066551656,0.051977445,0.041866556,0.037011075,0.035883587,0.03312366,0.030529105,0.023954339,0.016703539,0.020605736
6703,Botswana,Male,Rural,875.105,0.128164708,0.132937212,0.12990041,0.111714162,0.079864646,0.076730338,0.071491577,0.056074761,0.038585004,0.030028016,0.030440073,0.032738895,0.030991013,0.019517197,0.014030597,0.01679139
6711,Lesotho,Male,Rural,1541.072,0.132310901,0.124437145,0.121370453,0.121354994,0.108117955,0.090107278,0.073797908,0.050229611,0.033517264,0.025292597,0.023437315,0.02443615,0.023226163,0.018369775,0.012189459,0.017805033
6719,Namibia,Male,Rural,1276.09,0.139781094,0.146635976,0.143456601,0.13014146,0.088455408,0.05575747,0.04477333,0.040514226,0.037869108,0.034996984,0.033275984,0.028539833,0.02466125,0.019287496,0.014882379,0.016971401
6727,South Africa,Male,Rural,18828.58,0.117437117,0.129230868,0.117077979,0.101479795,0.08552184,0.076856271,0.067336701,0.053282411,0.043593377,0.038956298,0.037912333,0.034678601,0.032026796,0.025321197,0.017593706,0.021694711
6735,Swaziland,Male,Rural,1011.606,0.143938622,0.133136181,0.123242916,0.120723981,0.113953787,0.091821085,0.064099986,0.04126715,0.030326561,0.0272388,0.02508232,0.023531826,0.020780886,0.016746488,0.011621527,0.012487883
6743,Western Africa,Male,Rural,192157.888,0.185237975,0.152962842,0.120496041,0.097109499,0.077367065,0.067522901,0.061042686,0.050807079,0.044865421,0.035335583,0.03129092,0.023955639,0.01993567,0.014078394,0.010007433,0.007984854
6751,Benin,Male,Rural,6098.138,0.176064625,0.158520238,0.124097452,0.095914479,0.078469876,0.070420662,0.059861643,0.051454785,0.043602775,0.036071015,0.030672702,0.022886225,0.0193468,0.013348076,0.010490336,0.008778311
6759,Burkina Faso,Male,Rural,12565.564,0.179142152,0.153342439,0.127619695,0.106189182,0.086181988,0.07244219,0.062358297,0.050294103,0.041109443,0.032874636,0.026710148,0.020181707,0.015615591,0.011148947,0.007979332,0.006810151
6767,Cabo Verde,Male,Rural,175.236,0.107619577,0.105476629,0.105747289,0.101184266,0.094460499,0.084462461,0.0734981,0.056623736,0.046752235,0.047534719,0.044226292,0.035093189,0.030136976,0.013577619,0.016947056,0.036659357
6775,Ivory Coast,Male,Rural,9757.408,0.16805745,0.136931715,0.110834218,0.092281982,0.084223974,0.070527165,0.059586002,0.053133513,0.047939547,0.042259915,0.036260064,0.030834231,0.024741582,0.01915737,0.0127503,0.01048097
6783,Gambia,Male,Rural,795.287,0.194412172,0.164195929,0.130612319,0.099068266,0.075346185,0.067939459,0.059746409,0.048966395,0.038232343,0.032474534,0.026807747,0.019904928,0.016190422,0.009720754,0.008901107,0.007481031
6791,Ghana,Male,Rural,12401.558,0.154753861,0.14494827,0.12209062,0.100106339,0.08046512,0.070753521,0.064040701,0.056468917,0.048490481,0.041173941,0.03329841,0.025170275,0.020417821,0.015377532,0.010656433,0.011787758
6799,Guinea,Male,Rural,7759.24,0.166021457,0.144025144,0.120289971,0.102128045,0.084813808,0.072610497,0.062449119,0.05087292,0.043921081,0.035968625,0.032684619,0.026808883,0.023115781,0.014540761,0.010602896,0.009146393
6807,Guinea-Bissau,Male,Rural,905.834,0.169589504,0.14431398,0.116153591,0.096842087,0.080192976,0.069158083,0.064687245,0.05034255,0.058347384,0.026906555,0.032571102,0.024879449,0.0311911,0.014842975,0.011149716,0.008831703
6815,Liberia,Male,Rural,2265.193,0.169703641,0.151329926,0.122550745,0.097536027,0.074691445,0.067485207,0.06296114,0.052214669,0.047575683,0.037727121,0.033527074,0.025553253,0.021618515,0.014334656,0.011580514,0.009610386
6823,Mali,Male,Rural,9768.752,0.213242255,0.173696293,0.133409965,0.08913349,0.067173374,0.06207924,0.055859119,0.046833778,0.039194418,0.030089451,0.023525991,0.019025958,0.015989671,0.012538725,0.009587291,0.008620983
6831,Mauritania,Male,Rural,1637.842,0.159771845,0.140202791,0.114853987,0.096124944,0.079069147,0.070566421,0.065072454,0.056317758,0.05218835,0.041903952,0.036768483,0.027670256,0.022265574,0.015144976,0.01128095,0.01079811
6839,Niger,Male,Rural,15659.057,0.21753394,0.16464355,0.127114177,0.097838633,0.075284692,0.061056706,0.05143894,0.044094767,0.036647141,0.030422334,0.02879002,0.022227497,0.01597662,0.012337538,0.008136165,0.006457279
6847,Nigeria,Male,Rural,95842.932,0.188252959,0.152061918,0.117543109,0.096155531,0.075272143,0.065934629,0.061897066,0.050649713,0.046530609,0.03567139,0.032712675,0.024534561,0.020914739,0.014429314,0.010189709,0.007249936
6855,Saint Helena,Male,Rural,2.497,0.066775658,0.066902358,0.063244221,0.080301718,0.073366106,0.062974213,0.080261399,0.068578858,0.069509853,0.076783567,0.056513425,0.076055284,0.048688045,0.049724961,0.024400242,0.035920093
6863,Senegal,Male,Rural,8423.492,0.18544563,0.163346361,0.12766627,0.097755324,0.08047863,0.072215877,0.060814133,0.050128636,0.039976612,0.029376309,0.025052823,0.019909218,0.016936761,0.011837162,0.00957427,0.009485984
6871,Sierra Leone,Male,Rural,3794.791,0.166455669,0.145013012,0.113087519,0.099229914,0.076352488,0.075843702,0.069604572,0.061653838,0.049551566,0.039429781,0.030867835,0.023298838,0.019536136,0.014599962,0.00945244,0.006022728
6879,Togo,Male,Rural,4305.067,0.168112761,0.144168839,0.11788795,0.098804191,0.084184383,0.076243295,0.067991554,0.05573971,0.047118433,0.036198269,0.030379345,0.023150339,0.019263413,0.013618218,0.009483097,0.007656204
6887,Asia,Male,Rural,2271706.727,0.096251032,0.093034162,0.088537369,0.080794617,0.080320029,0.081667174,0.072632605,0.065531616,0.065883831,0.062194833,0.054237504,0.046074573,0.04045028,0.027512612,0.019163864,0.0257139
6895,Eastern Asia,Male,Rural,655149.296,0.075690012,0.068303588,0.062168554,0.054754143,0.06739726,0.080186588,0.063046991,0.059918831,0.081303328,0.083415018,0.071816921,0.060805633,0.060591565,0.041713966,0.027819831,0.041067771
6903,China,Male,Rural,622107.985,0.076766649,0.069134478,0.062539534,0.054581745,0.067921052,0.081444686,0.063127084,0.059918632,0.081843396,0.083977293,0.071961207,0.060220653,0.060687616,0.040861471,0.02663565,0.038378855
6911,"China, Hong Kong Special Administrative Region",Male,Rural,0,,,,,,,,,,,,,,,,
6919,"China, Macao Special Administrative Region",Male,Rural,0,,,,,,,,,,,,,,,,
6927,Democratic People's Republic of Korea,Male,Rural,9842.015,0.076991824,0.071190512,0.073718894,0.074015312,0.076580823,0.072179175,0.06995936,0.053356797,0.079733148,0.08196929,0.058828994,0.064933324,0.031431692,0.040800572,0.035974201,0.038336082
6935,Japan,Male,Rural,8245.551,0.039309071,0.042400156,0.045380607,0.045854476,0.039863475,0.045069519,0.049876033,0.055078775,0.06455474,0.063306477,0.065974423,0.066241976,0.070518296,0.075918206,0.066705075,0.163948694
6943,Mongolia,Male,Rural,817.272,0.11389448,0.112662557,0.091250268,0.065235957,0.06928319,0.100925458,0.089076932,0.078271749,0.071635377,0.058593055,0.052604129,0.035686493,0.02194317,0.014766169,0.011653125,0.01251789
6951,Republic of Korea,Male,Rural,8719.071,0.042034755,0.039195616,0.038863738,0.049791377,0.049863769,0.044651122,0.055855554,0.060196826,0.066041402,0.070365006,0.078408192,0.083647022,0.07494814,0.072156314,0.064882663,0.109098504
6959,"China, Taiwan Province of China",Male,Rural,5417.402,0.053465817,0.047225788,0.057255953,0.059510727,0.060406026,0.057774112,0.068985758,0.076013909,0.073651185,0.076826972,0.080026202,0.079235873,0.070152717,0.044278943,0.032593683,0.062596338
6967,Central Asia,Male,Rural,39405.199,0.115888804,0.107934658,0.093626292,0.093751496,0.099485152,0.095324761,0.076345913,0.064414355,0.055848101,0.048427949,0.044745814,0.03681268,0.024933095,0.015533821,0.009196539,0.017730569
6975,Kazakhstan,Male,Rural,7840.762,0.096726485,0.104917858,0.089023914,0.079200724,0.084071471,0.083895043,0.07728167,0.067161425,0.062270841,0.05728485,0.053887895,0.046733102,0.034736859,0.025218964,0.013933361,0.023655539
6983,Kyrgyzstan,Male,Rural,3669.53,0.129347175,0.110070032,0.090904046,0.093842843,0.090730142,0.09979942,0.074143168,0.056791645,0.054245866,0.049836221,0.050185779,0.037011736,0.023534163,0.013859349,0.007536618,0.018161797
6991,Tajikistan,Male,Rural,6304.327,0.152769729,0.120157384,0.09800854,0.098230195,0.097269423,0.096762079,0.072944398,0.055368379,0.047228416,0.042808517,0.038859618,0.029337701,0.018008545,0.010990425,0.006988457,0.014268195
6999,Turkmenistan,Male,Rural,2684.779,0.111929764,0.103523944,0.101697473,0.092844864,0.105651667,0.099414876,0.076657409,0.060135568,0.051876914,0.048863467,0.04448762,0.038952604,0.024640237,0.014831628,0.00802867,0.016463293
7007,Uzbekistan,Male,Rural,18905.801,0.109487649,0.105321911,0.093455924,0.09840366,0.107440103,0.098136356,0.077475406,0.068378696,0.056933659,0.046293414,0.041897942,0.034848488,0.023489375,0.013456887,0.008456384,0.016524146
7015,Southern Asia,Male,Rural,1169185.355,0.10642233,0.104151857,0.100596879,0.092550568,0.086347103,0.083005375,0.076133876,0.067411606,0.058309831,0.052253553,0.045848942,0.039175414,0.032119737,0.021752489,0.015679102,0.01824134
7023,Afghanistan,Male,Rural,23460.153,0.152767904,0.15294283,0.142285451,0.120254074,0.090869568,0.07049145,0.058830601,0.049525429,0.040635025,0.033208719,0.026420196,0.020694349,0.015796528,0.012008016,0.007042338,0.006227522
7031,Bangladesh,Male,Rural,105427.33,0.099338391,0.098591723,0.104613157,0.101107488,0.094386408,0.086634286,0.079063406,0.069501595,0.058818643,0.052688601,0.04529741,0.034143398,0.023182719,0.018699527,0.0149056,0.019027649
7039,Bhutan,Male,Rural,476.406,0.098414535,0.09003274,0.086661812,0.087520796,0.088088042,0.090751043,0.088355518,0.074511029,0.060484424,0.055549989,0.04387681,0.040288008,0.029342582,0.024153303,0.017844139,0.024125231
7047,India,Male,Rural,862451.436,0.103875533,0.101259328,0.098535504,0.08958343,0.084737463,0.082252767,0.076328176,0.06838407,0.059866996,0.054008315,0.047553812,0.041424972,0.034759727,0.022807487,0.016101618,0.018520801
7055,Iran (Islamic Republic of),Male,Rural,21160.506,0.102804507,0.092787106,0.075194553,0.080117536,0.091685981,0.101762903,0.098606679,0.076867466,0.057445548,0.049678903,0.043136252,0.035900904,0.031277042,0.020166865,0.016307398,0.026260357
7063,Maldives,Male,Rural,194.973,0.12091465,0.112867753,0.097912547,0.082578124,0.075994175,0.089145483,0.079635812,0.062737432,0.055884001,0.053043025,0.044336566,0.035151231,0.023623957,0.017582748,0.019966387,0.02862611
7071,Nepal,Male,Rural,23146.29,0.104532133,0.116370638,0.12420064,0.110828838,0.087991923,0.076520166,0.062526821,0.056919061,0.053621816,0.047323808,0.040682877,0.03395033,0.029575431,0.021671725,0.016781186,0.016502606
7079,Pakistan,Male,Rural,115223.39,0.12628973,0.12326822,0.106705264,0.102755311,0.091436587,0.087743719,0.074241182,0.06158544,0.049893733,0.04193942,0.036677115,0.029808654,0.022742328,0.016820334,0.013327025,0.014765938
7087,Sri Lanka,Male,Rural,17644.871,0.088749234,0.0869373,0.081946085,0.074158873,0.069248243,0.069540477,0.07502904,0.071502315,0.064770565,0.066015211,0.06163827,0.055820615,0.043935498,0.035579686,0.024186452,0.030942136
7095,South-Eastern Asia,Male,Rural,331452.108,0.093384763,0.096306596,0.093965888,0.086137145,0.081106383,0.077676756,0.077938053,0.070129249,0.066500084,0.061209209,0.053467532,0.045092837,0.034563194,0.022753275,0.016353048,0.023415987
7103,Brunei Darussalam,Male,Rural,97.698,0.081698666,0.087290195,0.093059461,0.081305805,0.077053567,0.072737042,0.064280568,0.07410174,0.081122237,0.07822783,0.065024044,0.054546103,0.038204773,0.023087709,0.012394204,0.015866057
7111,Cambodia,Male,Rural,12428.336,0.116992105,0.108511242,0.102573,0.092573338,0.092706105,0.075888723,0.104084171,0.040806731,0.05353854,0.050057434,0.044368704,0.031555341,0.027557908,0.019338609,0.014684861,0.024763187
7119,Indonesia,Male,Rural,118286.783,0.095450668,0.104545235,0.099969805,0.088403731,0.075245825,0.07145165,0.077152433,0.072345541,0.068517831,0.062266269,0.05261643,0.043304895,0.031881936,0.022226042,0.016097262,0.018524447
7127,Lao People's Democratic Republic,Male,Rural,4309.083,0.145948692,0.13672529,0.109212041,0.101223109,0.091897566,0.085421133,0.067233919,0.054326395,0.045347418,0.038930038,0.034653517,0.028067069,0.022708289,0.015384297,0.010781031,0.012140195
7135,Malaysia,Male,Rural,7753.077,0.089132125,0.079458645,0.088837245,0.09820983,0.108570554,0.106793673,0.084792397,0.05778236,0.053275694,0.050484157,0.045988732,0.040391579,0.032639965,0.026063225,0.01676506,0.020814759
7143,Myanmar,Male,Rural,35695.25,0.086654587,0.084447752,0.081503403,0.083326439,0.083286411,0.085962694,0.088140387,0.079220109,0.071154544,0.063973948,0.054919602,0.045441172,0.036853648,0.021896397,0.015643707,0.017575201
7151,Philippines,Male,Rural,56630.03,0.121277642,0.116101114,0.116208907,0.102146332,0.087993414,0.0793473,0.068213082,0.059997254,0.052022989,0.048621739,0.042199275,0.035303197,0.028129449,0.017788791,0.012199636,0.012449878
7159,Singapore,Male,Rural,0,,,,,,,,,,,,,,,,
7167,Thailand,Male,Rural,33448.512,0.059315365,0.066881729,0.071272899,0.064900706,0.056970797,0.058068809,0.066226834,0.077099193,0.081657558,0.082622316,0.076744593,0.069679259,0.05593737,0.03966926,0.02806764,0.044885672
7175,Democratic Republic of Timor-Leste,Male,Rural,788.383,0.167073321,0.155170914,0.139596037,0.137728695,0.099368242,0.06622828,0.051017704,0.024440041,0.031242168,0.025778085,0.024393221,0.023383451,0.019956201,0.014922752,0.010300773,0.009400117
7183,Viet Nam,Male,Rural,62014.956,0.077452765,0.081330885,0.07889371,0.075771065,0.091024923,0.090164819,0.083771966,0.0752549,0.071162919,0.0630941,0.056407333,0.048726144,0.035353757,0.020543265,0.015476734,0.035570714
7191,Western Asia,Male,Rural,76514.769,0.119182624,0.113053304,0.103905442,0.09431034,0.085596541,0.084148425,0.076312258,0.065522292,0.052089632,0.043766795,0.040120905,0.034386866,0.02878121,0.020718654,0.01560635,0.022498362
7199,Armenia,Male,Rural,1115.876,0.068614761,0.077923305,0.074762093,0.075053559,0.088769299,0.091838372,0.07667748,0.065946206,0.061419481,0.060222211,0.064133817,0.05098715,0.03422714,0.025068282,0.021010079,0.063346765
7207,Azerbaijan,Male,Rural,4362.213,0.089920165,0.079872523,0.071607726,0.079899592,0.093371277,0.096057732,0.085436459,0.070379728,0.06599546,0.063604242,0.065426427,0.04731541,0.029957336,0.016329823,0.013625067,0.031201034
7215,Bahrain,Male,Rural,152.625,0.088957088,0.080618954,0.070014904,0.063291558,0.077831014,0.13218301,0.129018575,0.082322787,0.084323396,0.062584052,0.04810896,0.040299743,0.013928871,0.010814821,0.006145128,0.009557139
7223,Cyprus,Male,Rural,385.265,0.059069104,0.060202229,0.057248471,0.068866909,0.081408935,0.07118984,0.079604787,0.073323011,0.065566421,0.061920623,0.058762661,0.057540317,0.053569135,0.047435214,0.039538899,0.064753441
7231,Georgia,Male,Rural,1995.548,0.069669715,0.070306611,0.052620889,0.051703641,0.070114582,0.076675929,0.067116119,0.061813383,0.057932597,0.055719118,0.06822771,0.067269084,0.05986733,0.05087257,0.034497644,0.085593078
7239,Iraq,Male,Rural,10919.313,0.162062659,0.145765119,0.129520931,0.111569543,0.093167654,0.078805908,0.064988862,0.054749367,0.043712083,0.034021448,0.022198217,0.016297911,0.01592332,0.009211944,0.007704319,0.010300714
7247,Israel,Male,Rural,622.485,0.109766841,0.104082475,0.090570559,0.086907892,0.072703293,0.064528341,0.066877328,0.074066507,0.066530291,0.051502857,0.046420618,0.043756218,0.038228868,0.029465057,0.01705693,0.037535922
7255,Jordan,Male,Rural,1255.07,0.131140201,0.121780954,0.101785699,0.098644354,0.095582223,0.092346214,0.085585074,0.068715376,0.053126511,0.042719243,0.03465712,0.021883525,0.016005235,0.013666858,0.010815022,0.011546392
7263,Kuwait,Male,Rural,59.422,0.105960851,0.090407218,0.075158911,0.068727988,0.073880534,0.113240231,0.137664252,0.105895318,0.068149984,0.056390818,0.036040297,0.026065221,0.014481568,0.014304282,0.003493018,0.010139508
7271,Lebanon,Male,Rural,616.954,0.071996102,0.063767096,0.075655137,0.089432359,0.097721645,0.097230024,0.085949048,0.069113115,0.05659859,0.055446915,0.054347199,0.044487737,0.037752742,0.032035306,0.027048365,0.04141862
7279,Oman,Male,Rural,929.647,0.107414989,0.090240107,0.072085165,0.080515471,0.127917187,0.171952633,0.131531012,0.059817554,0.033599797,0.027718549,0.019408046,0.021409313,0.013729,0.01559862,0.010571381,0.016491176
7287,Qatar,Male,Rural,17.764,0.059693835,0.049057429,0.045834772,0.041092067,0.082031957,0.173563945,0.179919898,0.128664144,0.097450653,0.063409479,0.037542482,0.021881886,0.008836013,0.003230042,0.003311621,0.004479775
7295,Saudi Arabia,Male,Rural,5043.782,0.106228507,0.111490467,0.092056013,0.072499696,0.076365305,0.091616729,0.091480136,0.094353867,0.072589564,0.053096075,0.044746635,0.033494512,0.025585232,0.012866465,0.009148106,0.012382693
