Age,M,F
0-4,98696,96429
5-9,84843,82365
10-14,70312,68460
15-19,61854,58126
20-24,77646,55478
25-29,88186,53982
30-34,85221,49923
35-39,62246,37728
40-44,39888,25726
45-49,26741,19324
50-54,19809,16282
55-59,12600,11669
60-64,9924,9650
65-69,7301,7478
70-74,4291,4567
75-79,2618,2974
80-84,1171,1420
85-89,403,483
90-94,66,87
95-99,7,8
100+,0,0
