Age,M,F
0-4,10221,9651
5-9,10444,9875
10-14,11636,11191
15-19,11263,10114
20-24,10636,10567
25-29,9807,9677
30-34,11230,11661
35-39,9977,10283
40-44,9784,9373
45-49,10439,10261
50-54,9748,8870
55-59,8109,7970
60-64,6431,5829
65-69,4891,4840
70-74,2858,2757
75-79,2307,2487
80-84,1016,1299
85-89,550,814
90-94,118,207
95-99,24,61
100+,2,6
