Age,M,F
0-4,10248,9795
5-9,11089,10613
10-14,11062,10627
15-19,11050,10640
20-24,11769,11124
25-29,10254,9347
30-34,10613,10280
35-39,10346,10130
40-44,9890,10034
45-49,10495,10364
50-54,8875,9024
55-59,7987,8199
60-64,5890,6356
65-69,4874,4840
70-74,3887,3928
75-79,2368,2544
80-84,1004,1647
85-89,406,678
90-94,102,288
95-99,15,66
100+,1,7
