Age,M,F
0-4,50402,49661
5-9,49367,46596
10-14,48819,39482
15-19,49833,41271
20-24,48576,41110
25-29,46663,40380
30-34,44290,40811
35-39,38190,36210
40-44,34538,30258
45-49,27942,23932
50-54,21072,20016
55-59,18027,16386
60-64,12639,12211
65-69,8487,8894
70-74,6642,6884
75-79,3781,4179
80-84,1814,2179
85-89,675,864
90-94,165,238
95-99,24,45
100+,1,3
