Age,M,F
0-4,17729,16894
5-9,15355,14563
10-14,14523,14351
15-19,13966,14135
20-24,12057,12171
25-29,9444,10397
30-34,8531,9984
35-39,9568,10564
40-44,9459,9645
45-49,8360,8616
50-54,7054,7238
55-59,5659,5686
60-64,4630,4844
65-69,3522,3323
70-74,2054,1994
75-79,1191,1426
80-84,461,589
85-89,119,371
90-94,63,191
95-99,20,65
100+,1,10
