Age,M,F
0-4,152189,149467
5-9,136876,135102
10-14,118455,117648
15-19,100789,100997
20-24,87739,89813
25-29,77017,81065
30-34,65132,70156
35-39,53006,58096
40-44,40026,44210
45-49,31224,34519
50-54,23071,26218
55-59,18135,22055
60-64,14050,18861
65-69,10549,15761
70-74,5660,9154
75-79,3242,5587
80-84,1245,2410
85-89,386,779
90-94,66,143
95-99,5,13
100+,0,0
