Age,M,F
0-4,180085,165240
5-9,156712,136960
10-14,146355,131268
15-19,142720,134322
20-24,198769,197632
25-29,229073,269173
30-34,227300,313371
35-39,230694,353162
40-44,226215,336158
45-49,234987,328783
50-54,253867,328440
55-59,301475,341660
60-64,284274,286261
65-69,213761,225524
70-74,155260,160288
75-79,85645,88019
80-84,81858,97826
85-89,45916,69290
90-94,18686,37762
95-99,4319,13773
100+,516,2758
