Age,M,F
0-4,4729,4515
5-9,5301,5065
10-14,5407,5207
15-19,5589,5322
20-24,4908,4732
25-29,4750,5056
30-34,4143,5033
35-39,4030,5249
40-44,4075,5376
45-49,4989,6271
50-54,5242,6662
55-59,5543,7213
60-64,4722,6236
65-69,3998,5281
70-74,3241,4250
75-79,2017,2973
80-84,1358,2040
85-89,682,1144
90-94,266,505
95-99,83,176
100+,10,33
