Age,M,F
0-4,9184,8823
5-9,9601,8986
10-14,12052,11390
15-19,12521,12158
20-24,12026,11426
25-29,8354,8151
30-34,7310,9841
35-39,7341,10024
40-44,8293,11531
45-49,11358,15380
50-54,13873,17355
55-59,14501,17503
60-64,12974,14570
65-69,10424,13058
70-74,8479,10272
75-79,5939,7778
80-84,4640,6520
85-89,2731,4642
90-94,1066,2125
95-99,267,872
100+,38,180
