Age,M,F
0-4,18223,17394
5-9,16056,15126
10-14,11885,11106
15-19,12099,11373
20-24,19571,18796
25-29,27041,28104
30-34,31745,36068
35-39,28486,29835
40-44,20932,22238
45-49,21300,28232
50-54,20084,27612
55-59,24313,28062
60-64,21654,21304
65-69,16004,15856
70-74,9427,8796
75-79,3915,4361
80-84,2858,3661
85-89,1418,2887
90-94,567,1429
95-99,116,439
100+,10,61
