Age,M,F
0-4,33355,32387
5-9,34431,33323
10-14,34971,33792
15-19,35966,34528
20-24,32009,30744
25-29,26319,27502
30-34,22513,26485
35-39,23149,28049
40-44,26908,31122
45-49,29304,31684
50-54,31699,33767
55-59,28138,30233
60-64,23273,24812
65-69,18523,20387
70-74,12367,13889
75-79,8433,10494
80-84,5118,7657
85-89,2624,4536
90-94,883,2205
95-99,286,950
100+,15,101
