Age,M,F
0-4,2037603,2012684
5-9,1776986,1760059
10-14,1575024,1565223
15-19,1423069,1424475
20-24,1228313,1238837
25-29,1021826,1030776
30-34,838941,844885
35-39,696697,692820
40-44,582848,562958
45-49,465511,432902
50-54,378629,339099
55-59,311651,273304
60-64,247500,215062
65-69,178866,155096
70-74,111773,95561
75-79,64485,60612
80-84,26500,28026
85-89,6878,8394
90-94,1022,1440
95-99,83,133
100+,1,2
