Age,M,F
0-4,860000,837855
5-9,776973,757960
10-14,690624,674891
15-19,599934,588887
20-24,527148,521438
25-29,442851,441477
30-34,362537,363356
35-39,288622,289918
40-44,241553,243523
45-49,197382,201455
50-54,159788,166693
55-59,124357,133473
60-64,92807,103067
65-69,66361,76042
70-74,52521,59634
75-79,31648,37578
80-84,14807,18890
85-89,5167,7290
90-94,1245,1831
95-99,197,309
100+,8,16
