Age,M,F
0-4,3169,2963
5-9,3587,3454
10-14,3596,3614
15-19,3515,3239
20-24,3393,3169
25-29,2999,3071
30-34,2069,2593
35-39,2304,2892
40-44,2603,3088
45-49,3003,3423
50-54,3375,3841
55-59,3511,3939
60-64,3472,3912
65-69,2945,3629
70-74,2836,3415
75-79,1938,2336
80-84,891,1313
85-89,364,651
90-94,111,249
95-99,21,76
100+,2,8
