Age,M,F
0-4,3029,2898
5-9,2989,2885
10-14,3517,3418
15-19,3683,3596
20-24,3842,3769
25-29,3637,3435
30-34,2628,2641
35-39,2738,3242
40-44,3117,3791
45-49,3545,4115
50-54,3851,4530
55-59,4153,4871
60-64,3388,4056
65-69,2584,3216
70-74,1803,2269
75-79,1055,1486
80-84,584,1000
85-89,233,460
90-94,57,151
95-99,10,33
100+,0,4
