Age,M,F
0-4,1757856,1683812
5-9,1798660,1726556
10-14,1785975,1717249
15-19,1767950,1703048
20-24,1732829,1685340
25-29,1670890,1651095
30-34,1606832,1619045
35-39,1423845,1451621
40-44,1257230,1310892
45-49,1323014,1393721
50-54,1264312,1357368
55-59,1136776,1231250
60-64,847491,935652
65-69,699055,798124
70-74,526442,613910
75-79,378590,460796
80-84,232778,308642
85-89,120236,172281
90-94,51417,79859
95-99,16242,28058
100+,2940,5327
