Age,M,F
0-4,45885,44405
5-9,49217,47719
10-14,48364,47046
15-19,44688,43604
20-24,43946,43100
25-29,51018,50304
30-34,60612,60010
35-39,61505,61923
40-44,48819,49084
45-49,43760,44854
50-54,41347,43293
55-59,44629,47433
60-64,35629,37680
65-69,27654,30469
70-74,19434,22770
75-79,12248,16077
80-84,6357,9249
85-89,2644,4522
90-94,960,1893
95-99,238,497
100+,28,55
