Age,M,F
0-4,15237861,14952425
5-9,13262198,13068670
10-14,11242319,11145763
15-19,9286979,9246851
20-24,7677667,7665723
25-29,6473607,6476941
30-34,5417448,5437314
35-39,4438641,4469945
40-44,3576435,3623010
45-49,2867176,2938706
50-54,2242717,2334923
55-59,1775088,1877289
60-64,1313142,1442851
65-69,936073,1064635
70-74,628324,764255
75-79,360556,473076
80-84,166695,242434
85-89,54921,87285
90-94,11800,21453
95-99,1587,3406
100+,55,183
