Age,M,F
0-4,11424,11088
5-9,11960,11459
10-14,15163,14304
15-19,15147,14813
20-24,13676,13256
25-29,9117,8688
30-34,6969,9507
35-39,7072,11136
40-44,9415,13403
45-49,12481,16291
50-54,14055,17165
55-59,14221,16815
60-64,12126,14285
65-69,10288,12764
70-74,8454,10141
75-79,5468,7510
80-84,3915,5568
85-89,2221,4003
90-94,1091,2120
95-99,349,838
100+,74,208
