Age,M,F
0-4,34787425,33057546
5-9,36144846,34330500
10-14,36069509,34278193
15-19,35063734,33393233
20-24,37091516,35438880
25-29,41492003,39809211
30-34,44256312,43105120
35-39,43479618,43083780
40-44,42634709,42860324
45-49,42990101,43460614
50-54,42287420,43343783
55-59,42230924,44650186
60-64,38206892,42410087
65-69,33173161,38771093
70-74,26875428,32710455
75-79,18343138,24704560
80-84,13314442,20537382
85-89,7024653,12733224
90-94,2845195,6643553
95-99,654284,2049476
100+,51363,242445
