Age,M,F
0-4,314459923,295061513
5-9,305525774,285760037
10-14,292872621,272925068
15-19,279742413,260538765
20-24,270717515,253395513
25-29,266056364,250974547
30-34,261505959,250597314
35-39,227027942,219852732
40-44,204959675,199836275
45-49,196907207,193561736
50-54,176545582,176160865
55-59,144904184,145974793
60-64,115551788,119160620
65-69,91298068,97233078
70-74,55917835,63804547
75-79,34730754,42268643
80-84,19757241,26768429
85-89,8399026,13000446
90-94,2525459,4579069
95-99,549442,1189821
100+,63165,176137
