Age,M,F
0-4,3955,3867
5-9,4118,4128
10-14,4307,4168
15-19,4770,4455
20-24,4683,4512
25-29,4120,4009
30-34,4011,3939
35-39,3807,3966
40-44,3782,3678
45-49,3602,3325
50-54,3533,3332
55-59,3477,3214
60-64,2641,2419
65-69,1868,1854
70-74,1296,1301
75-79,902,881
80-84,699,805
85-89,422,485
90-94,86,129
95-99,15,26
100+,2,3
