Age,M,F
0-4,1764352,1663029
5-9,1716597,1620262
10-14,1652972,1562302
15-19,1547727,1469556
20-24,1554343,1483030
25-29,1579185,1512537
30-34,1529523,1516990
35-39,1437554,1438368
40-44,1290810,1302065
45-49,1278467,1301954
50-54,1170472,1199039
55-59,1120631,1149272
60-64,967820,1017328
65-69,817174,862055
70-74,675104,715996
75-79,449207,493294
80-84,290057,345468
85-89,161147,228166
90-94,67335,118248
95-99,16183,37646
100+,1006,3776
