Age,M,F
0-4,4445,4272
5-9,4404,4328
10-14,4406,4102
15-19,4796,4579
20-24,5363,5035
25-29,5723,5509
30-34,5907,5803
35-39,6057,5861
40-44,5855,5901
45-49,6710,6794
50-54,6691,6893
55-59,5953,6174
60-64,5120,5259
65-69,4538,4634
70-74,3473,3885
75-79,2582,2914
80-84,1841,2330
85-89,917,1549
90-94,378,819
95-99,88,306
100+,7,63
