Age,M,F
0-4,566674,528931
5-9,535032,500579
10-14,507479,475594
15-19,468823,440583
20-24,419383,396771
25-29,358192,341015
30-34,320473,306285
35-39,292951,280518
40-44,253160,243522
45-49,210017,204015
50-54,169221,168165
55-59,133752,137482
60-64,100984,108522
65-69,69509,78195
70-74,39789,45380
75-79,21286,24482
80-84,9392,11227
85-89,3085,3841
90-94,732,931
95-99,75,69
100+,2,1
