Age,M,F
0-4,6959,6602
5-9,6885,6518
10-14,6890,6520
15-19,7202,6770
20-24,7216,6581
25-29,6636,6367
30-34,5729,5677
35-39,5008,4943
40-44,4946,4830
45-49,5245,5130
50-54,5310,4962
55-59,4975,4731
60-64,3792,3822
65-69,3035,3229
70-74,2182,2467
75-79,1191,1493
80-84,788,1254
85-89,335,674
90-94,95,218
95-99,17,61
100+,1,9
