Age,M,F
0-4,6262,5909
5-9,6074,5750
10-14,6010,5794
15-19,5970,5607
20-24,6053,5667
25-29,5456,4952
30-34,4167,3794
35-39,3355,3330
40-44,3034,2872
45-49,2638,2785
50-54,2478,2612
55-59,2326,2296
60-64,1875,1977
65-69,1285,1304
70-74,580,695
75-79,178,319
80-84,89,187
85-89,31,74
90-94,6,16
95-99,0,4
100+,0,0
